Ch,Ct
954,32829
955,33192
956,33215
957,32991
958,33135
959,33175
960,32668
961,33115
962,33040
963,32885
964,32932
965,32839
966,32686
967,32824
968,32981
969,32817
970,32770
971,33253
972,32887
973,33031
974,32423
975,32830
976,32863
977,33126
978,32864
979,32984
980,32748
981,32990
982,32843
983,32507
984,32679
985,32934
986,32794
987,32926
988,33477
989,32725
990,32870
991,32780
992,32798
993,32831
994,32910
995,32615
996,32599
997,32635
998,32847
999,32549
1000,32821
1001,32864
1002,32570
1003,32950
1004,32886
1005,32707
1006,33017
1007,32727
1008,32901
1009,32554
1010,32390
1011,32688
1012,32746
1013,32679
1014,32812
1015,32660
1016,33034
1017,32817
1018,32606
1019,32921
1020,32658
1021,32610
1022,32387
1023,32691
